From_Bus;To_Bus;Transmission_Capacity;Reactance
143;145;800;0.07730
143;148;1000;0.03710
143;149;200;0.09090
145;146;800;0.05880
145;149;200;0.15110
145;180;1000;0.01820
146;147;800;0.05040
148;178;800;0.15260
148;179;200;0.39190
151;170;1000;0.03920
152;153;200;0.09570
153;161;800;0.02880
153;183;1000;0.06390
154;156;200;0.31610
154;183;200;0.30540
155;156;1000;0.02560
155;161;200;0.05680
164;155;1000;0.02310
157;159;800;0.00980
158;159;800;0.02850
158;160;200;0.04480
162;164;800;0.03260
162;165;800;0.02450
163;164;800;0.05140
165;166;800;0.01230
7166;166;1000;0.01540
167;169;800;0.01780
172;173;200;0.48430
172;174;200;0.22100
173;174;200;0.33310
173;175;200;0.30710
173;176;200;0.50170
175;176;200;0.36260
175;179;200;0.30920
176;177;800;0.08290
177;178;800;0.08470
178;179;200;0.18550
178;180;800;0.02900
181;187;1000;0.00830
184;185;800;0.02450
186;188;1000;0.00860
187;188;800;0.00860
189;208;200;0.09500
189;209;200;0.06900
189;210;1000;0.25200
229;190;1000;0.06260
190;231;1000;0.00220
190;240;1000;0.02750
191;192;1500;0.04800
225;191;1500;0.06100
192;225;200;0.00900
193;196;1000;0.23700
193;205;200;0.06300
193;208;200;0.12700
194;219;800;0.02860
194;664;800;0.03550
195;212;1000;0.03660
195;219;800;0.02860
196;197;200;0.04000
196;210;200;0.08100
196;2040;1000;0.02000
197;198;800;0.06000
197;211;200;0.04000
198;202;200;0.68800
198;203;200;0.04600
209;198;1000;0.21100
198;210;800;0.07300
198;211;200;0.10900
199;200;200;0.13500
199;210;200;0.10200
200;210;200;0.12800
200;248;1000;0.22000
201;204;200;0.18300
202;211;1000;0.12800
203;211;200;0.05900
204;205;200;0.06800
204;2040;1000;0.20400
205;206;200;0.44600
206;207;200;0.09300
206;208;200;0.42100
211;212;1000;0.01220
212;215;200;0.07780
213;214;800;0.03800
214;215;800;0.01850
214;242;200;0.01080
215;216;800;0.02490
216;217;800;0.04970
217;218;1000;0.04560
217;219;800;0.01770
217;220;800;0.03950
218;219;1000;0.03540
220;218;800;0.04840
219;237;800;0.00180
220;221;800;0.02950
220;238;800;0.00460
221;223;800;0.00130
222;237;800;0.05140
223;224;1000;0.01950
224;225;800;0.06400
224;226;800;0.00810
226;231;800;0.02120
227;231;800;0.04720
228;229;800;0.00870
228;231;200;0.09170
228;234;200;0.02880
229;230;1000;0.03320
231;232;1000;0.00690
231;237;1500;0.00060
232;233;1000;0.04850
234;235;1000;0.02590
234;236;1500;0.01600
234;237;800;0.02720
235;238;800;0.00060
241;237;1000;0.01540
238;239;1000;0.01600
240;281;800;0.00430
242;245;800;0.08510
242;247;800;0.07230
243;244;200;0.03550
243;245;200;0.18040
244;246;200;0.05510
245;246;200;0.07320
245;247;200;0.21190
246;247;200;0.12850
247;248;200;0.12150
248;249;200;0.10040
249;250;200;0.18570
9001;9005;800;0.00348
9001;9006;1000;0.43682
9001;9012;1000;0.64898
9012;9002;200;0.43286
9012;9002;200;0.43286
9002;9021;200;0.07026
9002;9024;200;3.22020
9006;9003;200;0.49332
9006;9003;200;0.49332
9007;9003;200;0.24666
9003;9031;200;4.67240
9003;9032;200;4.88460
9003;9033;200;4.80560
9003;9034;200;1.39120
9003;9035;200;3.45720
9003;9036;200;1.67290
9003;9037;200;2.57120
9003;9038;200;2.96680
9003;9044;20;0.06352
9004;9041;200;2.45600
9004;9042;200;5.45360
9004;9043;200;1.69940
9044;9004;20;0.02894
9005;9051;1000;0.37486
9005;9052;1000;0.37486
9005;9053;1000;0.38046
9005;9054;1000;0.15200
9005;9055;1000;0.80000
9006;9007;200;0.24666
9007;9071;200;2.96680
9007;9072;200;2.05700
9012;9121;200;0.99036
9021;9022;200;2.81520
9021;9023;20;0.95278
9023;9025;200;3.94400
9023;9026;200;3.61520
9053;9533;1000;0.75000
119;1190;1000;0.023
120;1200;1000;0.023
